id,question_type,corruption,layer,component,token_region,emb_recovery,mech_recovery,graph_support_recovery
34,hidden_variable_identification,shuffled_graph,8,attention,synthesis_stage,1.0000,0.4000,0.5874
34,hidden_variable_identification,shuffled_graph,8,mlp,synthesis_stage,1.0000,0.4000,0.5874
34,hidden_variable_identification,shuffled_graph,9,residual,graph_stage,1.0000,0.9600,0.5874
34,hidden_variable_identification,shuffled_graph,9,attention,graph_stage,1.0000,0.9600,0.5874
34,hidden_variable_identification,shuffled_graph,9,mlp,graph_stage,1.0000,0.9600,0.5874
34,hidden_variable_identification,shuffled_graph,9,residual,synthesis_stage,1.0000,0.3600,0.5874
34,hidden_variable_identification,shuffled_graph,9,attention,synthesis_stage,1.0000,0.3600,0.5874
34,hidden_variable_identification,shuffled_graph,9,mlp,synthesis_stage,1.0000,0.3600,0.5874
34,hidden_variable_identification,shuffled_graph,10,residual,graph_stage,0.9953,0.9200,0.5874
34,hidden_variable_identification,shuffled_graph,10,attention,graph_stage,0.9953,0.9200,0.5874
34,hidden_variable_identification,shuffled_graph,10,mlp,graph_stage,0.9953,0.9200,0.5874
34,hidden_variable_identification,shuffled_graph,10,residual,synthesis_stage,1.0000,0.2800,0.5874
34,hidden_variable_identification,shuffled_graph,10,attention,synthesis_stage,1.0000,0.2800,0.5874
34,hidden_variable_identification,shuffled_graph,10,mlp,synthesis_stage,1.0000,0.2800,0.5874
34,hidden_variable_identification,shuffled_graph,20,residual,graph_stage,1.0000,0.8800,0.5874
34,hidden_variable_identification,shuffled_graph,20,attention,graph_stage,1.0000,0.8800,0.5874
34,hidden_variable_identification,shuffled_graph,20,mlp,graph_stage,1.0000,0.8800,0.5874
34,hidden_variable_identification,shuffled_graph,20,residual,synthesis_stage,1.0000,0.1600,0.5874
34,hidden_variable_identification,shuffled_graph,20,attention,synthesis_stage,1.0000,0.1600,0.5874
34,hidden_variable_identification,shuffled_graph,20,mlp,synthesis_stage,1.0000,0.1600,0.5874
34,hidden_variable_identification,shuffled_graph,21,residual,graph_stage,0.9969,0.8400,0.5874
34,hidden_variable_identification,shuffled_graph,21,attention,graph_stage,0.9969,0.8400,0.5874
34,hidden_variable_identification,shuffled_graph,21,mlp,graph_stage,0.9969,0.8400,0.5874
34,hidden_variable_identification,shuffled_graph,21,residual,synthesis_stage,1.0000,0.1400,0.5874
34,hidden_variable_identification,shuffled_graph,21,attention,synthesis_stage,1.0000,0.1400,0.5874
34,hidden_variable_identification,shuffled_graph,21,mlp,synthesis_stage,1.0000,0.1400,0.5874
34,hidden_variable_identification,shuffled_graph,22,residual,graph_stage,1.0000,0.8800,0.5874
34,hidden_variable_identification,shuffled_graph,22,attention,graph_stage,1.0000,0.8800,0.5874
34,hidden_variable_identification,shuffled_graph,22,mlp,graph_stage,1.0000,0.8800,0.5874
34,hidden_variable_identification,shuffled_graph,22,residual,synthesis_stage,1.0000,0.0400,0.5874
34,hidden_variable_identification,shuffled_graph,22,attention,synthesis_stage,1.0000,0.0400,0.5874
34,hidden_variable_identification,shuffled_graph,22,mlp,synthesis_stage,1.0000,0.0400,0.5874
34,hidden_variable_identification,shuffled_graph,23,residual,graph_stage,1.0000,0.9000,0.5874
34,hidden_variable_identification,shuffled_graph,23,attention,graph_stage,1.0000,0.9000,0.5874
34,hidden_variable_identification,shuffled_graph,23,mlp,graph_stage,1.0000,0.9000,0.5874
34,hidden_variable_identification,shuffled_graph,23,residual,synthesis_stage,1.0000,0.0400,0.5874
34,hidden_variable_identification,shuffled_graph,23,attention,synthesis_stage,1.0000,0.0400,0.5874
34,hidden_variable_identification,shuffled_graph,23,mlp,synthesis_stage,1.0000,0.0400,0.5874
34,hidden_variable_identification,shuffled_graph,24,residual,graph_stage,0.9983,0.9200,0.5874
34,hidden_variable_identification,shuffled_graph,24,attention,graph_stage,0.9983,0.9200,0.5874
34,hidden_variable_identification,shuffled_graph,24,mlp,graph_stage,0.9983,0.9200,0.5874
34,hidden_variable_identification,shuffled_graph,24,residual,synthesis_stage,1.0000,0.0600,0.5874
34,hidden_variable_identification,shuffled_graph,24,attention,synthesis_stage,1.0000,0.0600,0.5874
34,hidden_variable_identification,shuffled_graph,24,mlp,synthesis_stage,1.0000,0.0600,0.5874
34,hidden_variable_identification,shuffled_graph,28,residual,graph_stage,1.0000,0.8800,0.5874
34,hidden_variable_identification,shuffled_graph,28,attention,graph_stage,1.0000,0.8800,0.5874
34,hidden_variable_identification,shuffled_graph,28,mlp,graph_stage,1.0000,0.8800,0.5874
34,hidden_variable_identification,shuffled_graph,28,residual,synthesis_stage,1.0000,0.1800,0.5874
34,hidden_variable_identification,shuffled_graph,28,attention,synthesis_stage,1.0000,0.1800,0.5874
34,hidden_variable_identification,shuffled_graph,28,mlp,synthesis_stage,1.0000,0.1800,0.5874
34,hidden_variable_identification,shuffled_graph,29,residual,graph_stage,1.0000,0.9000,0.5874
34,hidden_variable_identification,shuffled_graph,29,attention,graph_stage,1.0000,0.9000,0.5874
34,hidden_variable_identification,shuffled_graph,29,mlp,graph_stage,1.0000,0.9000,0.5874
34,hidden_variable_identification,shuffled_graph,29,residual,synthesis_stage,1.0000,0.2000,0.5874
34,hidden_variable_identification,shuffled_graph,29,attention,synthesis_stage,1.0000,0.2000,0.5874
34,hidden_variable_identification,shuffled_graph,29,mlp,synthesis_stage,1.0000,0.2000,0.5874
34,hidden_variable_identification,shuffled_graph,30,residual,graph_stage,1.0000,0.8800,0.5874
34,hidden_variable_identification,shuffled_graph,30,attention,graph_stage,1.0000,0.8800,0.5874
34,hidden_variable_identification,shuffled_graph,30,mlp,graph_stage,1.0000,0.8800,0.5874
34,hidden_variable_identification,shuffled_graph,30,residual,synthesis_stage,1.0000,0.2200,0.5874
34,hidden_variable_identification,shuffled_graph,30,attention,synthesis_stage,1.0000,0.2200,0.5874
34,hidden_variable_identification,shuffled_graph,30,mlp,synthesis_stage,1.0000,0.2200,0.5874
34,hidden_variable_identification,shuffled_graph,31,residual,graph_stage,1.0000,0.9000,0.5874
34,hidden_variable_identification,shuffled_graph,31,attention,graph_stage,1.0000,0.9000,0.5874
34,hidden_variable_identification,shuffled_graph,31,mlp,graph_stage,1.0000,0.9000,0.5874
34,hidden_variable_identification,shuffled_graph,31,residual,synthesis_stage,1.0000,0.2600,0.5874
34,hidden_variable_identification,shuffled_graph,31,attention,synthesis_stage,1.0000,0.2600,0.5874
34,hidden_variable_identification,shuffled_graph,31,mlp,synthesis_stage,1.0000,0.2600,0.5874
34,hidden_variable_identification,shuffled_graph,32,residual,graph_stage,1.0000,0.8600,0.5874
34,hidden_variable_identification,shuffled_graph,32,attention,graph_stage,1.0000,0.8600,0.5874
34,hidden_variable_identification,shuffled_graph,32,mlp,graph_stage,1.0000,0.8600,0.5874
34,hidden_variable_identification,shuffled_graph,32,residual,synthesis_stage,1.0000,0.2600,0.5874
34,hidden_variable_identification,shuffled_graph,32,attention,synthesis_stage,1.0000,0.2600,0.5874
34,hidden_variable_identification,shuffled_graph,32,mlp,synthesis_stage,1.0000,0.2600,0.5874
34,hidden_variable_identification,shuffled_graph,36,residual,graph_stage,1.0000,0.9400,0.5874
34,hidden_variable_identification,shuffled_graph,36,attention,graph_stage,1.0000,0.9400,0.5874
34,hidden_variable_identification,shuffled_graph,36,mlp,graph_stage,1.0000,0.9400,0.5874
34,hidden_variable_identification,shuffled_graph,36,residual,synthesis_stage,1.0000,0.6000,0.5874
34,hidden_variable_identification,shuffled_graph,36,attention,synthesis_stage,1.0000,0.6000,0.5874
34,hidden_variable_identification,shuffled_graph,36,mlp,synthesis_stage,1.0000,0.6000,0.5874
34,hidden_variable_identification,wrong_graph,0,residual,graph_stage,1.0000,0.6800,0.6643
34,hidden_variable_identification,wrong_graph,0,attention,graph_stage,1.0000,0.6800,0.6643
34,hidden_variable_identification,wrong_graph,0,mlp,graph_stage,1.0000,0.6800,0.6643
34,hidden_variable_identification,wrong_graph,0,residual,synthesis_stage,1.0000,0.2400,0.6643
34,hidden_variable_identification,wrong_graph,0,attention,synthesis_stage,1.0000,0.2400,0.6643
34,hidden_variable_identification,wrong_graph,0,mlp,synthesis_stage,1.0000,0.2400,0.6643
34,hidden_variable_identification,wrong_graph,0,residual,answer_start,1.0000,0.0200,0.6643
34,hidden_variable_identification,wrong_graph,0,attention,answer_start,1.0000,0.0200,0.6643
34,hidden_variable_identification,wrong_graph,0,mlp,answer_start,1.0000,0.0200,0.6643
34,hidden_variable_identification,wrong_graph,1,residual,graph_stage,1.0000,0.8600,0.6643
34,hidden_variable_identification,wrong_graph,1,attention,graph_stage,1.0000,0.8600,0.6643
34,hidden_variable_identification,wrong_graph,1,mlp,graph_stage,1.0000,0.8600,0.6643
34,hidden_variable_identification,wrong_graph,1,residual,synthesis_stage,1.0000,0.6800,0.6643
34,hidden_variable_identification,wrong_graph,1,attention,synthesis_stage,1.0000,0.6800,0.6643
34,hidden_variable_identification,wrong_graph,1,mlp,synthesis_stage,1.0000,0.6800,0.6643
34,hidden_variable_identification,wrong_graph,1,residual,answer_start,1.0000,0.3200,0.6643
34,hidden_variable_identification,wrong_graph,1,attention,answer_start,1.0000,0.3200,0.6643
34,hidden_variable_identification,wrong_graph,1,mlp,answer_start,1.0000,0.3200,0.6643
34,hidden_variable_identification,wrong_graph,2,residual,graph_stage,1.0000,0.8800,0.6643
34,hidden_variable_identification,wrong_graph,2,attention,graph_stage,1.0000,0.8800,0.6643
34,hidden_variable_identification,wrong_graph,2,mlp,graph_stage,1.0000,0.8800,0.6643
34,hidden_variable_identification,wrong_graph,2,residual,synthesis_stage,1.0000,0.6800,0.6643
34,hidden_variable_identification,wrong_graph,2,attention,synthesis_stage,1.0000,0.6800,0.6643
34,hidden_variable_identification,wrong_graph,2,mlp,synthesis_stage,1.0000,0.6800,0.6643
34,hidden_variable_identification,wrong_graph,2,residual,answer_start,1.0000,0.3200,0.6643
34,hidden_variable_identification,wrong_graph,2,attention,answer_start,1.0000,0.3200,0.6643
34,hidden_variable_identification,wrong_graph,2,mlp,answer_start,1.0000,0.3200,0.6643
34,hidden_variable_identification,wrong_graph,3,residual,graph_stage,1.0000,0.9400,0.6643
34,hidden_variable_identification,wrong_graph,3,attention,graph_stage,1.0000,0.9400,0.6643
34,hidden_variable_identification,wrong_graph,3,mlp,graph_stage,1.0000,0.9400,0.6643
34,hidden_variable_identification,wrong_graph,3,residual,synthesis_stage,1.0000,0.6600,0.6643
34,hidden_variable_identification,wrong_graph,3,attention,synthesis_stage,1.0000,0.6600,0.6643
34,hidden_variable_identification,wrong_graph,3,mlp,synthesis_stage,1.0000,0.6600,0.6643
34,hidden_variable_identification,wrong_graph,3,residual,answer_start,1.0000,0.4000,0.6643
34,hidden_variable_identification,wrong_graph,3,attention,answer_start,1.0000,0.4000,0.6643
34,hidden_variable_identification,wrong_graph,3,mlp,answer_start,1.0000,0.4000,0.6643
34,hidden_variable_identification,wrong_graph,4,residual,graph_stage,1.0000,0.9000,0.6643
34,hidden_variable_identification,wrong_graph,4,attention,graph_stage,1.0000,0.9000,0.6643
34,hidden_variable_identification,wrong_graph,4,mlp,graph_stage,1.0000,0.9000,0.6643
34,hidden_variable_identification,wrong_graph,4,residual,synthesis_stage,1.0000,0.6800,0.6643
34,hidden_variable_identification,wrong_graph,4,attention,synthesis_stage,1.0000,0.6800,0.6643
34,hidden_variable_identification,wrong_graph,4,mlp,synthesis_stage,1.0000,0.6800,0.6643
34,hidden_variable_identification,wrong_graph,4,residual,answer_start,1.0000,0.3000,0.6643
34,hidden_variable_identification,wrong_graph,4,attention,answer_start,1.0000,0.3000,0.6643
34,hidden_variable_identification,wrong_graph,4,mlp,answer_start,1.0000,0.3000,0.6643
34,hidden_variable_identification,wrong_graph,5,residual,graph_stage,0.9999,0.8600,0.6643
34,hidden_variable_identification,wrong_graph,5,attention,graph_stage,0.9999,0.8600,0.6643
34,hidden_variable_identification,wrong_graph,5,mlp,graph_stage,0.9999,0.8600,0.6643
34,hidden_variable_identification,wrong_graph,5,residual,synthesis_stage,1.0000,0.6400,0.6643
34,hidden_variable_identification,wrong_graph,5,attention,synthesis_stage,1.0000,0.6400,0.6643
34,hidden_variable_identification,wrong_graph,5,mlp,synthesis_stage,1.0000,0.6400,0.6643
34,hidden_variable_identification,wrong_graph,5,residual,answer_start,1.0000,0.2600,0.6643
34,hidden_variable_identification,wrong_graph,5,attention,answer_start,1.0000,0.2600,0.6643
34,hidden_variable_identification,wrong_graph,5,mlp,answer_start,1.0000,0.2600,0.6643
34,hidden_variable_identification,wrong_graph,6,residual,graph_stage,1.0000,0.9400,0.6643
34,hidden_variable_identification,wrong_graph,6,attention,graph_stage,1.0000,0.9400,0.6643
34,hidden_variable_identification,wrong_graph,6,mlp,graph_stage,1.0000,0.9400,0.6643
34,hidden_variable_identification,wrong_graph,6,residual,synthesis_stage,1.0000,0.6200,0.6643
34,hidden_variable_identification,wrong_graph,6,attention,synthesis_stage,1.0000,0.6200,0.6643
34,hidden_variable_identification,wrong_graph,6,mlp,synthesis_stage,1.0000,0.6200,0.6643
34,hidden_variable_identification,wrong_graph,6,residual,answer_start,1.0000,0.2200,0.6643
34,hidden_variable_identification,wrong_graph,6,attention,answer_start,1.0000,0.2200,0.6643
34,hidden_variable_identification,wrong_graph,6,mlp,answer_start,1.0000,0.2200,0.6643
34,hidden_variable_identification,wrong_graph,7,residual,graph_stage,0.9394,0.9600,0.6643
34,hidden_variable_identification,wrong_graph,7,attention,graph_stage,0.9394,0.9600,0.6643
34,hidden_variable_identification,wrong_graph,7,mlp,graph_stage,0.9394,0.9600,0.6643
34,hidden_variable_identification,wrong_graph,7,residual,synthesis_stage,1.0000,0.5600,0.6643
34,hidden_variable_identification,wrong_graph,7,attention,synthesis_stage,1.0000,0.5600,0.6643
34,hidden_variable_identification,wrong_graph,7,mlp,synthesis_stage,1.0000,0.5600,0.6643
34,hidden_variable_identification,wrong_graph,7,residual,answer_start,1.0000,0.2000,0.6643
34,hidden_variable_identification,wrong_graph,7,attention,answer_start,1.0000,0.2000,0.6643
34,hidden_variable_identification,wrong_graph,7,mlp,answer_start,1.0000,0.2000,0.6643
34,hidden_variable_identification,wrong_graph,8,residual,graph_stage,0.9481,0.9600,0.6643
34,hidden_variable_identification,wrong_graph,8,attention,graph_stage,0.9481,0.9600,0.6643
34,hidden_variable_identification,wrong_graph,8,mlp,graph_stage,0.9481,0.9600,0.6643
34,hidden_variable_identification,wrong_graph,8,residual,synthesis_stage,1.0000,0.3800,0.6643
34,hidden_variable_identification,wrong_graph,8,attention,synthesis_stage,1.0000,0.3800,0.6643
34,hidden_variable_identification,wrong_graph,8,mlp,synthesis_stage,1.0000,0.3800,0.6643
34,hidden_variable_identification,wrong_graph,8,residual,answer_start,1.0000,0.1600,0.6643
34,hidden_variable_identification,wrong_graph,8,attention,answer_start,1.0000,0.1600,0.6643
34,hidden_variable_identification,wrong_graph,8,mlp,answer_start,1.0000,0.1600,0.6643
34,hidden_variable_identification,wrong_graph,9,residual,graph_stage,1.0000,0.9800,0.6643
34,hidden_variable_identification,wrong_graph,9,attention,graph_stage,1.0000,0.9800,0.6643
34,hidden_variable_identification,wrong_graph,9,mlp,graph_stage,1.0000,0.9800,0.6643
34,hidden_variable_identification,wrong_graph,9,residual,synthesis_stage,1.0000,0.4600,0.6643
34,hidden_variable_identification,wrong_graph,9,attention,synthesis_stage,1.0000,0.4600,0.6643
34,hidden_variable_identification,wrong_graph,9,mlp,synthesis_stage,1.0000,0.4600,0.6643
34,hidden_variable_identification,wrong_graph,9,residual,answer_start,1.0000,0.0800,0.6643
34,hidden_variable_identification,wrong_graph,9,attention,answer_start,1.0000,0.0800,0.6643
34,hidden_variable_identification,wrong_graph,9,mlp,answer_start,1.0000,0.0800,0.6643
34,hidden_variable_identification,wrong_graph,10,residual,graph_stage,0.9946,0.9400,0.6643
34,hidden_variable_identification,wrong_graph,10,attention,graph_stage,0.9946,0.9400,0.6643
34,hidden_variable_identification,wrong_graph,10,mlp,graph_stage,0.9946,0.9400,0.6643
34,hidden_variable_identification,wrong_graph,10,residual,synthesis_stage,1.0000,0.4800,0.6643
34,hidden_variable_identification,wrong_graph,10,attention,synthesis_stage,1.0000,0.4800,0.6643
34,hidden_variable_identification,wrong_graph,10,mlp,synthesis_stage,1.0000,0.4800,0.6643
34,hidden_variable_identification,wrong_graph,10,residual,answer_start,1.0000,0.0800,0.6643
34,hidden_variable_identification,wrong_graph,10,attention,answer_start,1.0000,0.0800,0.6643
34,hidden_variable_identification,wrong_graph,10,mlp,answer_start,1.0000,0.0800,0.6643
34,hidden_variable_identification,wrong_graph,20,residual,graph_stage,1.0000,0.8800,0.6643
34,hidden_variable_identification,wrong_graph,20,attention,graph_stage,1.0000,0.8800,0.6643
34,hidden_variable_identification,wrong_graph,20,mlp,graph_stage,1.0000,0.8800,0.6643
34,hidden_variable_identification,wrong_graph,20,residual,synthesis_stage,1.0000,0.3200,0.6643
34,hidden_variable_identification,wrong_graph,20,attention,synthesis_stage,1.0000,0.3200,0.6643
34,hidden_variable_identification,wrong_graph,20,mlp,synthesis_stage,1.0000,0.3200,0.6643
34,hidden_variable_identification,wrong_graph,20,residual,answer_start,1.0000,0.0200,0.6643
